Exchange Date,Close
31-Jan-05,12.82
01-Feb-05,12.03
02-Feb-05,11.66
03-Feb-05,11.79
04-Feb-05,11.21
07-Feb-05,11.73
08-Feb-05,11.6
09-Feb-05,12
10-Feb-05,11.51
11-Feb-05,11.43
14-Feb-05,11.52
15-Feb-05,11.27
16-Feb-05,11.1
17-Feb-05,11.77
18-Feb-05,11.18
22-Feb-05,13.14
23-Feb-05,12.39
24-Feb-05,11.57
25-Feb-05,11.49
28-Feb-05,12.08
01-Mar-05,12.04
02-Mar-05,12.5
03-Mar-05,12.93
04-Mar-05,11.94
07-Mar-05,12.26
08-Mar-05,12.4
09-Mar-05,12.7
10-Mar-05,12.49
11-Mar-05,12.8
14-Mar-05,12.39
15-Mar-05,13.15
16-Mar-05,13.49
17-Mar-05,13.29
18-Mar-05,13.14
21-Mar-05,13.61
22-Mar-05,14.27
23-Mar-05,14.06
24-Mar-05,13.42
28-Mar-05,13.75
29-Mar-05,14.49
30-Mar-05,13.64
31-Mar-05,14.02
01-Apr-05,14.09
04-Apr-05,14.11
05-Apr-05,13.68
06-Apr-05,13.15
07-Apr-05,12.33
08-Apr-05,12.62
11-Apr-05,11.98
12-Apr-05,11.3
13-Apr-05,13.31
14-Apr-05,14.53
15-Apr-05,17.74
18-Apr-05,16.56
19-Apr-05,14.96
20-Apr-05,16.92
21-Apr-05,14.41
22-Apr-05,15.38
25-Apr-05,14.62
26-Apr-05,14.91
27-Apr-05,14.87
28-Apr-05,16.86
29-Apr-05,15.31
02-May-05,15.12
03-May-05,14.53
04-May-05,13.85
05-May-05,13.98
06-May-05,14.05
09-May-05,13.75
10-May-05,14.91
11-May-05,14.45
12-May-05,16.12
13-May-05,16.32
16-May-05,15.68
17-May-05,14.57
18-May-05,13.63
19-May-05,13.32
20-May-05,13.14
23-May-05,12.95
24-May-05,12.69
25-May-05,12.58
26-May-05,12.24
27-May-05,12.15
31-May-05,13.29
01-Jun-05,12.36
02-Jun-05,11.84
03-Jun-05,12.15
06-Jun-05,12.28
07-Jun-05,12.39
08-Jun-05,12.7
09-Jun-05,12.08
10-Jun-05,11.96
13-Jun-05,11.65
14-Jun-05,11.79
15-Jun-05,11.46
16-Jun-05,11.15
17-Jun-05,11.48
